k,N,branch_j,always_neg_js,y1_min,a_at_min,cls_min,y1_max,a_at_max,cls_max,y1_limit
2,14,2,1,-1185.564112309243,0.07142490613266583,interior (finite),-1021.4226175397164,6302600.911379547,right edge of {b>0} a~6.3e+06,-1021.4219779786313
2,15,0,1,-18.405357169518723,100000000.0,a->inf (asymptotic),-18.403917852513338,0.5266093859635146,interior (finite),-18.40535716954917
2,15,2,1,-1257.4832968788292,0.06660846290809154,interior (finite),-1093.5953564289537,6096969.824894602,right edge of {b>0} a~6.1e+06,-1093.5946428304744
2,16,0,1,-18.254411781642936,100000000.0,a->inf (asymptotic),-18.25323162236135,0.5266093859635146,interior (finite),-18.254411781667816
2,16,2,1,-1329.2301524814193,0.06233297958681597,interior (finite),-1165.7464252138566,5580828.534801618,right edge of {b>0} a~5.58e+06,-1165.7455882183183
2,17,0,1,-18.121323540472424,100000000.0,a->inf (asymptotic),-18.120343866955565,0.5257465581977472,interior (finite),-18.121323540493012
2,17,2,1,-1401.9608139432555,0.05891176470588236,interior (finite),-1237.8796322756189,5222604.695402018,right edge of {b>0} a~5.22e+06,-1237.878676459597
2,18,0,1,-18.003095982633784,100000000.0,a->inf (asymptotic),-18.002273833602796,0.5257465581977472,interior (finite),-18.003095982651015
2,18,2,1,-1473.9197448649238,35.960219081274836,interior (finite),-1309.998027745739,4727917.263199688,right edge of {b>0} a~4.73e+06,-1309.996904017368
2,19,0,1,-17.89736842611443,100000000.0,a->inf (asymptotic),-17.89667175288447,0.5208188264978441,interior (finite),-17.897368426129
2,19,2,1,-1545.8443074573938,0.05265519399249062,interior (finite),-1382.103947953218,4280086.843896378,right edge of {b>0} a~4.28e+06,-1382.1026315739307
2,20,0,1,-17.802255642627454,100000000.0,a->inf (asymptotic),-17.80166015500577,0.5208188264978441,interior (finite),-17.80225564263988
2,20,2,1,-1617.6820557661354,0.04996656239010231,interior (finite),-1454.1990756651305,4473632.080819197,right edge of {b>0} a~4.47e+06,-1454.1977443574035
2,21,0,1,-17.716233768738654,100000000.0,a->inf (asymptotic),-17.71572078219444,0.5208188264978441,interior (finite),-17.716233768749337
2,21,2,1,-1689.9193913615004,0.04764993742177723,interior (finite),-1526.2853335218063,4005355.3891270244,right edge of {b>0} a~4.01e+06,-1526.2837662311292
2,22,0,1,-17.638057596385387,100000000.0,a->inf (asymptotic),-17.637612546846483,0.5194888610763455,interior (finite),-17.638057596394635
2,22,2,1,-1761.0266840961006,0.04523370744772101,interior (finite),-1598.363664583348,3832069.46758857,right edge of {b>0} a~3.83e+06,-1598.3619424036697
2,23,0,1,-17.566699606064198,100000000.0,a->inf (asymptotic),-17.566311007448117,0.5194888610763455,interior (finite),-17.566699606072262
2,23,2,1,-1833.0788296082,0.043276736363218216,interior (finite),-1670.4351883103918,3666280.5114092957,right edge of {b>0} a~3.67e+06,-1670.4333003937904
2,24,0,1,-17.501304348805288,100000000.0,a->inf (asymptotic),-17.50096304353095,0.5194888610763455,interior (finite),-17.501304348812358
2,24,2,1,-1904.8187304852618,0.041404430808950954,interior (finite),-1742.5007608130227,3507664.175200362,right edge of {b>0} a~3.51e+06,-1742.4986956512564
2,25,0,1,-17.441153846888444,100000000.0,a->inf (asymptotic),-17.44085246098398,0.5150919396134438,interior (finite),-17.44115384689468
